median_len,mcc
91.5,0.11197850219117086
109.0,0.20447131584993633
112.5,0.0949157995752499
126.0,-0.04364357804719848
136.5,-0.022628141110071023
142.5,-0.1363014238341136
145.0,-0.07142857142857142
150.5,-0.24605662643230505
156.5,0.08831908831908832
169.0,-0.014357683075131602
179.0,0.18946618668626836
185.5,0.12403473458920845
196.5,0.21684543705982776
217.0,0.04279604925109129
225.0,0.21684543705982776
241.5,0.18681617943926834
253.5,0.18333969940564226
263.0,0.1622645850472764
270.0,0.12812370226601222
288.0,-0.10482848367219182
297.0,-0.027066598098038335
307.0,0.12598815766974242
325.0,0.20447131584993633
332.5,0.09245003270420486
